level,stat,observed,sim_median,sim_q025,sim_q975,pass,method
model_row,total_events,479,499.5,404.475,624.5249999999999,TRUE,joint_posterior
model_row,zero_fraction,0.5232558139534884,0.5058139534883721,0.44476744186046513,0.5668604651162791,TRUE,joint_posterior
model_row,max_count,18,30,15,75,TRUE,joint_posterior
camera,total_events,479,499.5,404.475,624.5249999999999,TRUE,joint_posterior
camera,zero_fraction,0.05,0.06666666666666667,0.016666666666666666,0.13333333333333333,TRUE,joint_posterior
camera,max_count,56,63,32,135.52499999999986,TRUE,joint_posterior
